coefficient: [-0.00370846  1.24858585 -0.94688833]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00350424  1.22152845 -0.06112032]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.00307882  1.16967194  1.43470815]
coefficient: [-0.0038139   1.25148489 -0.75230594]
coefficient: [-0.00425023  1.3028176  -2.23982898]
coefficient: [-0.00314757  1.1784766   1.17944784]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
coefficient: [-0.00315868  1.17939479  1.15724907]
